,status,totalResults,articles
0,ok,16172,"{'source': {'id': None, 'name': 'New York Times'}, 'author': 'David Leonhardt', 'title': 'The Specter of Inflation', 'description': 'Is it haunting the U.S. economy?', 'url': 'https://www.nytimes.com/2021/06/17/briefing/inflation-us-economy-covid-pandemic.html', 'urlToImage': 'https://static01.nyt.com/images/2021/06/17/lens/17ambriefing-promo/17ambriefing-inflation-facebookJumbo-v2.jpg', 'publishedAt': '2021-06-17T10:30:22Z', 'content': 'With excess saving they can afford more of everything, Jason Furman, a Harvard economist and former Obama administration official, wrote this week.\r\nAlthough companies are increasing the supply of ma… [+2099 chars]'}"
1,ok,16172,"{'source': {'id': None, 'name': 'New York Times'}, 'author': 'Victoria Shannon and Lance Booth', 'title': 'California, N.C.A.A., Inflation: Your Monday Evening Briefing', 'description': 'Here’s what you need to know at the end of the day.', 'url': 'https://www.nytimes.com/2021/06/21/briefing/california-ncaa-inflation.html', 'urlToImage': 'https://static01.nyt.com/images/2021/06/21/us/politics/21evening-briefing-web-promo-new/21dc-scotus-ncaa-facebookJumbo.jpg', 'publishedAt': '2021-06-21T22:30:03Z', 'content': '10. And finally, figuring out how to be a super-ager.\r\nMaybe you know some people in their 80s or 90s who are still sharp as a tack, with brains that function as if they were 30 years younger.\r\nScien… [+844 chars]'}"
2,ok,16172,"{'source': {'id': None, 'name': 'New York Times'}, 'author': 'Whet Moser and David Poller', 'title': 'Inflation, Biden in Europe, Yugos: Your Thursday Evening Briefing', 'description': 'Here’s what you need to know at the end of the day.', 'url': 'https://www.nytimes.com/2021/06/10/briefing/inflation-biden-in-europe-yugos.html', 'urlToImage': 'https://static01.nyt.com/images/2021/06/10/multimedia/10PMbriefing-prices-promo/10PMbriefing-prices-facebookJumbo.jpg', 'publishedAt': '2021-06-10T22:05:51Z', 'content': '4. As the U.S. withdraws from Afghanistan, interpreters fear being left behind.\r\nA program to bring people employed by the American military to the U.S. is backlogged, with thousands of visa applican… [+481 chars]'}"
3,ok,16172,"{'source': {'id': None, 'name': 'New York Times'}, 'author': 'The New York Times', 'title': 'Here is where inflation stands as the Fed meets.', 'description': 'A jump in consumer prices is sure to come up at a news conference on Wednesday after the Federal Reserve’s meeting.', 'url': 'https://www.nytimes.com/live/2021/06/16/business/economy-stock-market-news', 'urlToImage': 'https://static01.nyt.com/images/2021/06/16/business/16economy-briefing-FedInflation/merlin_188586378_b7a0c048-2add-4403-b30c-357399ab4cea-facebookJumbo.jpg', 'publishedAt': '2021-06-16T10:21:32Z', 'content': 'A day after ousting two top executives, the electric truck start-up Lordstown Motors said on Tuesday that it was on track to start production in September even if it does not raise additional funding… [+3149 chars]'}"
4,ok,16172,"{'source': {'id': 'cnn', 'name': 'CNN'}, 'author': None, 'title': 'US consumer prices keep going up', 'description': ""Core inflation, excluding food and energy costs, rose at the fastest rate since 1992. CNN's Christine Romans breaks down the numbers."", 'url': 'https://www.cnn.com/videos/business/2021/06/10/may-consumer-price-inflation.cnnbusiness', 'urlToImage': 'https://cdn.cnn.com/cnnnext/dam/assets/210609161928-us-consumers-0607-super-tease.jpg', 'publishedAt': '2021-06-10T17:38:51Z', 'content': ''}"
5,ok,16172,"{'source': {'id': None, 'name': 'Stockmarket.com'}, 'author': 'Jonathan Phillip', 'title': 'Best Inflation Stocks To Buy This Week? 4 To Watch', 'description': 'As inflation measures skyrocket, these inflation stocks could continue to grow.', 'url': 'https://stockmarket.com/featured/inflation-stocks-to-buy-this-week-4-to-watch-2021-06-14', 'urlToImage': 'https://assets.entrepreneur.com/providers/stockmarket/hero-image-stockmarket-374518.jpeg', 'publishedAt': '2021-06-14T16:25:48Z', 'content': 'This story originally appeared on StockMarketAre These Good Inflation Stocks To Invest In Now?\r\nAs we start the current week of trading, inflation stocks appear to be on investors minds. For the unin… [+6832 chars]'}"
6,ok,16172,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'Reuters Staff', 'title': ""Brazil 2021 inflation forecasts rise further above cenbank's upper limit -survey - Reuters"", 'description': ""Forecasts for Brazil's growth and inflation in 2021 rose to new highs, a survey of economists showed on Monday, with inflation moving further above the upper limit of the central bank's target range for the year."", 'url': 'https://www.reuters.com/article/brazil-economy-survey-idUSL5N2NP35X', 'urlToImage': 'https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800', 'publishedAt': '2021-06-07T12:08:00Z', 'content': 'By Reuters Staff\r\nBRASILIA, June 7 (Reuters) - Forecasts for Brazils growth and inflation in 2021 rose to new highs, a survey of economists showed on Monday, with inflation moving further above the u… [+1066 chars]'}"
7,ok,16172,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'Anthony Esposito', 'title': ""Banxico says rate moves depend on how 'unprecedented' inflation shocks play out - Reuters"", 'description': 'Mexico is facing an ""unprecedented situation"" in terms of the shocks affecting inflation due to the COVID-19 pandemic and future interest rate moves will depend on the evolution of inflation, said Bank of Mexico Governor Alejandro Diaz de Leon.', 'url': 'https://www.reuters.com/article/mexico-economy-cenbank-idUSL2N2O70A1', 'urlToImage': 'https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800', 'publishedAt': '2021-06-25T11:02:00Z', 'content': 'MEXICO CITY, June 25 (Reuters) - Mexico is facing an unprecedented situation in terms of the shocks affecting inflation due to the COVID-19 pandemic and future interest rate moves will depend on the … [+1677 chars]'}"
8,ok,16172,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'Reuters Staff', 'title': ""Brazil's Campos Neto says policy credibility, anchoring inflation expectations is crucial - Reuters.com"", 'description': ""Brazil's central bank will do whatever it takes to meet its 2024 inflation goal of 3%, bank chief Roberto Campos Neto said on Friday, adding that anchoring inflation expectations and ensuring policy credibility is fundamental to the economy."", 'url': 'https://www.reuters.com/article/brazil-economy-cenbank-idUSS0N2NM00H', 'urlToImage': 'https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800', 'publishedAt': '2021-06-25T21:17:00Z', 'content': 'By Reuters Staff\r\nBRASILIA, June 25 (Reuters) - Brazils central bank will do whatever it takes to meet its 2024 inflation goal of 3%, bank chief Roberto Campos Neto said on Friday, adding that anchor… [+461 chars]'}"
9,ok,16172,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'Reuters', 'title': 'Yellen says inflation should be lower than current levels by year end - Reuters', 'description': 'U.S. Treasury Secretary Janet Yellen said on Wednesday that inflation should retreat by year end from its current elevated level as supply bottlenecks get worked out, adding she sees little evidence inflation expectations are becoming unanchored.', 'url': 'https://www.reuters.com/business/yellen-says-inflation-should-be-lower-than-current-levels-by-year-end-2021-06-23/', 'urlToImage': 'https://www.reuters.com/resizer/3k5sTZpyD6ij6jKWB66EX2sm99M=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OQUZ75RP5JIDZDRYSEHWDXUF7I.jpg', 'publishedAt': '2021-06-23T21:27:00Z', 'content': 'U.S. Treasury Secretary Janet Yellen testifies before the Senate Appropriations Subcommittee on Financial Services about the FY22 Treasury budget request on Capitol Hill, in Washington, DC, U.S., Jun… [+2630 chars]'}"
