,status,totalResults,articles
0,ok,926,"{'source': {'id': 'techcrunch', 'name': 'TechCrunch'}, 'author': 'Natasha Lomas', 'title': 'CJEU ruling could open big tech to more privacy litigation in Europe', 'description': 'A long running privacy fight between Belgium’s data protection authority and Facebook — over the latter’s use of online trackers like pixels and social plug-ins to snoop on web users — has culminated in a ruling by Europe’s top court today that could have wid…', 'url': 'http://techcrunch.com/2021/06/15/cjeu-ruling-could-open-big-tech-to-more-privacy-litigation-in-europe/', 'urlToImage': 'https://techcrunch.com/wp-content/uploads/2015/11/data-privacy-law.png?w=711', 'publishedAt': '2021-06-15T12:57:31Z', 'content': 'A long running privacy fight between Belgium’s data protection authority and Facebook — over the latter’s use of online trackers like pixels and social plug-ins to snoop on web users — has culminated… [+6936 chars]'}"
1,ok,926,"{'source': {'id': 'techcrunch', 'name': 'TechCrunch'}, 'author': 'Manish Singh', 'title': 'India’s central bank says growing presence of Big Tech in financial services a concern', 'description': 'India’s central bank has identified Big Tech’s push into financial services as a challenge for banks in the South Asian market, saying the growing presence of these firms have prompted concerns about creation of an uneven playing field. In a report published …', 'url': 'http://techcrunch.com/2021/07/01/indias-central-bank-says-growing-presence-of-big-tech-in-financial-services-a-concern/', 'urlToImage': 'https://techcrunch.com/wp-content/uploads/2021/07/GettyImages-1232704144.jpg?w=601', 'publishedAt': '2021-07-01T18:57:10Z', 'content': 'Indias central bank has identified Big Tech’s push into financial services as a challenge for banks in the South Asian market, saying the growing presence of these firms have prompted concerns about … [+3230 chars]'}"
2,ok,926,"{'source': {'id': 'the-verge', 'name': 'The Verge'}, 'author': 'Jon Porter', 'title': 'Google to work with UK regulators on its big ad-tracking shakeup', 'description': 'The UK’s competition regulator, the Competition and Markets Authority, is collaborating with Google on its Privacy Sandbox. This is the replacement for third-party cookies that Google is proposing.', 'url': 'https://www.theverge.com/2021/6/14/22532862/google-uk-regulator-competition-and-markets-authority-privacy-sandbox-floc', 'urlToImage': 'https://cdn.vox-cdn.com/thumbor/8prPqvLDLzqWV7wMDohjR2zgctU=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10745893/acastro_180427_1777_0003.jpg', 'publishedAt': '2021-06-14T08:50:52Z', 'content': 'Decision comes after company investigated by the UKs Competition and Markets Authority\r\nIllustration: Alex Castro / The Verge\r\nThe UKs competition regulator, the Competition and Markets Authority (CM… [+2310 chars]'}"
3,ok,926,"{'source': {'id': 'techcrunch', 'name': 'TechCrunch'}, 'author': 'Taylor Hatmaker', 'title': 'A Senate proposal for a new US agency to protect Americans’ data is back', 'description': 'Democratic Senator Kirsten Gillibrand has revived a bill that would establish a new U.S. federal agency to shield Americans from the invasive practices of tech companies operating in their own backyard. Last year, Gillibrand (D-NY) introduced the Data Protect…', 'url': 'http://techcrunch.com/2021/06/17/data-protection-agency-bill-antitrust-gillibrand/', 'urlToImage': 'https://techcrunch.com/wp-content/uploads/2019/08/GettyImages-654212048.jpg?w=600', 'publishedAt': '2021-06-17T10:00:05Z', 'content': 'Democratic Senator Kirsten Gillibrand has revived a bill that would establish a new U.S. federal agency to shield Americans from the invasive practices of tech companies operating in their own backya… [+3094 chars]'}"
4,ok,926,"{'source': {'id': 'techcrunch', 'name': 'TechCrunch'}, 'author': 'Richard Dal Porto', 'title': 'Daily Crunch: With Wickr purchase, AWS enters the encrypted messaging business', 'description': 'Hello friends and welcome to Daily Crunch, bringing you the most important startup, tech and venture capital news in a single package.', 'url': 'http://techcrunch.com/2021/06/25/daily-crunch-with-wickr-purchase-aws-enters-the-encrypted-messaging-business/', 'urlToImage': 'https://techcrunch.com/wp-content/uploads/2020/11/GettyImages-1180091997.jpg?w=600', 'publishedAt': '2021-06-25T22:10:15Z', 'content': 'To get a roundup of TechCrunchs biggest and most important stories delivered to your inbox every day at 3 p.m. PDT, subscribe here.\r\nHello and welcome to Daily Crunch for June 25, 2021. We have a gre… [+5505 chars]'}"
5,ok,926,"{'source': {'id': 'techcrunch', 'name': 'TechCrunch'}, 'author': 'Richard Dal Porto', 'title': 'Daily Crunch: After quarters of explosive growth, a profitable Robinhood files to go public', 'description': 'Hello friends and welcome to Daily Crunch, bringing you the most important startup, tech and venture capital news in a single package.', 'url': 'http://techcrunch.com/2021/07/01/daily-crunch-after-quarters-of-explosive-growth-a-profitable-robinhood-files-to-go-public/', 'urlToImage': 'https://techcrunch.com/wp-content/uploads/2021/01/robinhood-brick-wall.jpg?w=711', 'publishedAt': '2021-07-01T22:10:44Z', 'content': 'To get a roundup of TechCrunchs biggest and most important stories delivered to your inbox every day at 3 p.m. PDT, subscribe here.\r\nHello and welcome to Daily Crunch for July 1, 2021. Its Robinood I… [+7452 chars]'}"
6,ok,926,"{'source': {'id': 'techcrunch', 'name': 'TechCrunch'}, 'author': 'Natasha Lomas', 'title': 'UK’s ICO warns over ‘big data’ surveillance threat of live facial recognition in public', 'description': 'The UK’s chief data protection regulator has warned over reckless and inappropriate use of live facial recognition (LFR) in public places. Publishing an opinion today on the use of this biometric surveillance in public — to set out what is dubbed as the “rule…', 'url': 'http://techcrunch.com/2021/06/18/uks-ico-warns-over-big-data-surveillance-threat-of-live-facial-recognition-in-public/', 'urlToImage': 'https://techcrunch.com/wp-content/uploads/2019/03/GettyImages-51478187.jpg?w=764', 'publishedAt': '2021-06-18T09:26:45Z', 'content': 'The UK’s chief data protection regulator has warned over reckless and inappropriate use of live facial recognition (LFR) in public places.\r\nPublishing an opinion today on the use of this biometric su… [+10257 chars]'}"
7,ok,926,"{'source': {'id': 'techcrunch', 'name': 'TechCrunch'}, 'author': 'Natasha Lomas', 'title': 'UK gets data flows deal from EU — for now', 'description': 'The UK’s digital businesses can breathe a sign of relief today as the European Commission has officially signed off on data adequacy for the (now) third country, post-Brexit. It’s a big deal for UK businesses as it means the country will be treated by Brussel…', 'url': 'http://techcrunch.com/2021/06/28/uk-gets-data-flows-deal-from-eu-for-now/', 'urlToImage': 'https://techcrunch.com/wp-content/uploads/2019/11/GettyImages-1146371917.jpg?w=600', 'publishedAt': '2021-06-28T12:52:23Z', 'content': 'The UK’s digital businesses can breathe a sign of relief today as the European Commission has officially signed off on data adequacy for the (now) third country, post-Brexit.\r\nIt’s a big deal for UK … [+9859 chars]'}"
8,ok,926,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'insider@insider.com (Katie Canales)', 'title': ""The rise of Lina Khan, a Big Tech critic who just assumed the helm of the country's most powerful antitrust enforcement agency"", 'description': ""Lina Khan studied law at Yale and wrote a critical paper on Amazon in 2017. Now, she's leading the US agency empowered to break Big Tech apart."", 'url': 'https://www.businessinsider.com/ftc-chair-lina-khan-antitrust-critic-big-tech-amazon-2021-6', 'urlToImage': 'https://i.insider.com/60d0dd943093db00197024d4?width=1200&format=jpeg', 'publishedAt': '2021-06-21T21:41:52Z', 'content': ""Lina Khan has been one of Big Tech's biggest critics and she just took the reins of the government agency empowered to enforce antitrust laws against them.\xa0\r\nAt 32-years-old, Khan is the youngest per… [+3851 chars]""}"
9,ok,926,"{'source': {'id': 'techcrunch', 'name': 'TechCrunch'}, 'author': 'Mike Butcher', 'title': 'Exclusive: Hepsiburada CEO sets out her vision, as it becomes first ever Turkish Nasdaq IPO', 'description': 'Hepsiburada — Turkey’s giant online shopping platform considered the Amazon of its country —\xa0floats on the Nasdaq today,\xa0for a\xa0valuation likely to exceed $3.9 billion on current projections, especially with shares being marked up to $14 apiece (up from the pr…', 'url': 'http://techcrunch.com/2021/07/01/exclusive-hepsiburada-ceo-sets-out-her-vision-as-it-becomes-first-ever-turkish-nasdaq-ipo/', 'urlToImage': 'https://techcrunch.com/wp-content/uploads/2021/07/Hanzade-Doğan-Boyner.jpg?w=600', 'publishedAt': '2021-07-01T16:28:31Z', 'content': 'Hepsiburada Turkey’s giant online shopping platform considered the Amazon of its country \xa0floats on the Nasdaq today,\xa0for a\xa0valuation likely to exceed $3.9 billion on current projections, especially … [+7476 chars]'}"
