,status,totalResults,articles
0,ok,152,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'Alison Frankel', 'title': ""Securities class action defendants counting on SCOTUS' Goldman ruling - Reuters"", 'description': 'Why are defense lawyers so jazzed about the U.S. Supreme Court’s ruling on Monday in Goldman Sachs Group Inc v. Arkansas Teachers Retirement System?', 'url': 'https://www.reuters.com/legal/government/securities-class-action-defendants-counting-scotus-goldman-ruling-2021-06-22/', 'urlToImage': 'https://www.reuters.com/resizer/X86spIa8PIkuKpAfvUXC12xgxRc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DKUFFEF2U5M7HIFAVSQBK2G2KU.jpg', 'publishedAt': '2021-06-22T19:36:00Z', 'content': 'A Goldman Sachs sign is seen above the floor of the New York Stock Exchange. REUTERS/Lucas JacksonThe company and law firm names shown above are generated automatically based on the text of the artic… [+7421 chars]'}"
1,ok,152,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'Devik Jain', 'title': 'Futures rise after Fed-induced rout - Reuters', 'description': 'Wall Street futures rose on Monday as financials and energy stocks rebounded after hawkish comments from the Federal Reserve last week led the blue-chip Dow and the benchmark S&P 500 to their biggest weekly fall in months.', 'url': 'https://www.reuters.com/business/futures-rise-after-fed-induced-rout-2021-06-21/', 'urlToImage': 'https://www.reuters.com/resizer/fDnMe2YAR7xEiiHJeB5xwtRQOhw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/7OZJJ3BOQVM2VCY22Z533CKPBU.jpg', 'publishedAt': '2021-06-21T11:03:00Z', 'content': 'People are seen on Wall Street outside the New York Stock Exchange (NYSE) in New York City, U.S., March 19, 2021. REUTERS/Brendan McDermidJune 21 (Reuters) - Wall Street futures rose on Monday as fin… [+1872 chars]'}"
2,ok,152,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'Devik Jain', 'title': 'Dow futures inch up as banks gain ahead of consumer confidence data - Reuters', 'description': 'Futures tracking the blue-chip Dow edged higher on Tuesday as shares of big U.S. banks rose, while investors looked to consumer confidence data against the backdrop of rising inflation and a spike in new COVID-19 cases across Asia.', 'url': 'https://www.reuters.com/business/dow-futures-inch-up-banks-gain-ahead-consumer-confidence-data-2021-06-29/', 'urlToImage': 'https://www.reuters.com/resizer/NoWHFQyzBDvywYBwOFUNP_kMNTE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/JUTZ3BWVWVOA3D5UMGA3YWCBOY.jpg', 'publishedAt': '2021-06-29T11:10:00Z', 'content': 'A street sign for Wall Street is seen outside of the New York Stock Exchange (NYSE) in New York City, New York, U.S., June 28, 2021. REUTERS/Andrew KellyJune 29 (Reuters) - Futures tracking the blue-… [+2264 chars]'}"
3,ok,152,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'David Randall', 'title': 'Wall St Week Ahead Investors eye high-dividend stocks as Treasury yields languish - Reuters', 'description': 'Expectations that Treasury yields may stay tame in the second half of the year are pushing some investors to take a second look at companies whose dividend payouts beat those offered on U.S. government bonds.', 'url': 'https://www.reuters.com/business/wall-st-week-ahead-investors-eye-high-dividend-stocks-treasury-yields-languish-2021-07-02/', 'urlToImage': 'https://www.reuters.com/resizer/ef_GTKFqufw1rQceTD-mZa8iXvA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/4TNDDVB7KRJ5BPV27HNQNSDY7U.jpg', 'publishedAt': '2021-07-02T22:18:00Z', 'content': 'A Wall Street sign is pictured outside the New York Stock Exchange in New York, October 28, 2013. REUTERS/Carlo AllegriNEW YORK, July 2 (Reuters) - Expectations that Treasury yields may stay tame in … [+3978 chars]'}"
4,ok,152,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'David Randall', 'title': 'Wall St Week Ahead Fed shift causes rally in value stocks to wobble - Reuters', 'description': ""The Federal Reserve's hawkish shift is forcing investors to reevaluate the rally in so-called value stocks, which have taken a hit in recent days after ripping higher for most of the year."", 'url': 'https://www.reuters.com/business/wall-st-week-ahead-fed-shift-causes-rally-value-stocks-wobble-2021-06-18/', 'urlToImage': 'https://www.reuters.com/resizer/zV9zEPjdqPRY6K7IgPjn3x76O2Q=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/4YCOPQNTVVOX5BRJRKVR6WGUJM.jpg', 'publishedAt': '2021-06-18T19:33:00Z', 'content': 'A Wall Street sign outside the New York Stock Exchange in the Manhattan borough of New York City, New York, U.S., April 16, 2021. REUTERS/Carlo AllegriNEW YORK, June 17 (Reuters) - The Federal Reserv… [+4350 chars]'}"
5,ok,152,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'David Randall', 'title': 'Wall Street Week Ahead: Fed shift causes rally in value stocks to wobble - Reuters.com', 'description': ""The Federal Reserve's hawkish shift is forcing investors to reevaluate the rally in so-called value stocks, which have taken a hit in recent days after ripping higher for most of the year."", 'url': 'https://www.reuters.com/article/us-usa-stocks-weekahead-idUSKCN2DU27N', 'urlToImage': 'https://static.reuters.com/resources/r/?m=02&d=20210618&t=2&i=1566210717&r=LYNXNPEH5H16L&w=800', 'publishedAt': '2021-06-18T19:32:00Z', 'content': 'NEW YORK (Reuters) - The Federal Reserves hawkish shift is forcing investors to reevaluate the rally in so-called value stocks, which have taken a hit in recent days after ripping higher for most of … [+4175 chars]'}"
6,ok,152,"{'source': {'id': None, 'name': 'BNNBloomberg.ca'}, 'author': 'Bloomberg News', 'title': ""Oh, yeah, taper: Fed's stronger liftoff signal causes confusion - BNN"", 'description': ""<ol><li>Oh, yeah, taper: Fed's stronger liftoff signal causes confusion\xa0\xa0BNN\r\n</li><li>Chris Toomey on Fed raising rates: Market thinks the Fed is on hold\xa0\xa0CNBC Television\r\n</li><li>Stock market news live updates: Stocks drop, Dow heads for fifth straight day…"", 'url': 'http://www.bnnbloomberg.ca/oh-yeah-taper-fed-s-stronger-liftoff-signal-causes-confusion-1.1618635', 'urlToImage': 'http://www.bnnbloomberg.ca/polopoly_fs/1.1618663!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/u-s-federal-reserve-chair-jerome-powell.jpg', 'publishedAt': '2021-06-18T09:38:25Z', 'content': 'The Federal Reserve made some big headlines this week, but for a lot of observers they buried the news.\r\nInvestors have wondered for months when it would begin scaling back its massive asset purchase… [+5305 chars]'}"
7,ok,152,"{'source': {'id': None, 'name': 'BNNBloomberg.ca'}, 'author': 'Bloomberg News', 'title': ""Haters everywhere in stock market after S&P 500's big first half - BNN"", 'description': ""<ol><li>Haters everywhere in stock market after S&P 500's big first half\xa0\xa0BNN\r\n</li><li>Stock market news live updates: S&P 500 sets record high, sees best weekly gain since February\xa0\xa0Yahoo Canada Finance\r\n</li><li>S&P 500 Weekly Price Forecast - S&P 500 Has …"", 'url': 'http://www.bnnbloomberg.ca/haters-everywhere-in-stock-market-after-s-p-500-s-big-first-half-1.1621923', 'urlToImage': 'http://www.bnnbloomberg.ca/polopoly_fs/1.1621935!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/bull-and-bear.jpg', 'publishedAt': '2021-06-25T21:15:35Z', 'content': 'People were already worried about equities six months ago. Now, after the S&amp;P 500 Index defied everything from nosebleed valuations to inflation to post one of the best first halves ever, theyre … [+4417 chars]'}"
8,ok,152,"{'source': {'id': 'bloomberg', 'name': 'Bloomberg'}, 'author': 'Matt Levine', 'title': 'Money Stuff: Everything Still Might Be Securities Fraud', 'description': 'We  talked in February about a securities-fraud lawsuit against Goldman Sachs Group Inc. that was going all the way to the\xa0Supreme Court. The issue is that, before the 2008 global financial crisis, Goldman had gone around saying things like “our clients’ inte…', 'url': 'https://www.bloomberg.com/news/newsletters/2021-06-22/money-stuff-everything-still-might-be-securities-fraud', 'urlToImage': 'https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ia2IXrAHzWt4/v0/1200x681.jpg', 'publishedAt': '2021-06-22T15:59:27Z', 'content': 'Everything might be\xa0securities fraud\r\nWe \r\ntalked in February about a securities-fraud lawsuit against Goldman Sachs Group Inc. that was going all the way to the\xa0Supreme Court. The issue is that, bef… [+26226 chars]'}"
9,ok,152,"{'source': {'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}, 'author': 'Al Jazeera', 'title': 'China steps up campaign to rein in soaring raw material inflation', 'description': 'China also told state-owned enterprises to limit exposure to overseas commodities markets, sources tell Bloomberg.', 'url': 'https://www.aljazeera.com/economy/2021/6/16/china-steps-up-campaign-to-rein-in-soaring-raw-material-inflation', 'urlToImage': 'https://www.aljazeera.com/wp-content/uploads/2021/06/372516122.jpg?resize=1200%2C630', 'publishedAt': '2021-06-16T13:46:59Z', 'content': 'China has stepped up its campaign to rein in commodity prices and reduce speculation in a bid to ease the threat to its pandemic rebound from soaring raw material costs.\r\nState-owned enterprises were… [+3879 chars]'}"
